,balance_,duration_,history_,purpose_,amount_,savings_,employment_,available_income_,status_sex_,other_debtors_,residence_,assets_,age_,other_loans_,housing_,previous_loans_,job_,people_liable_,telephone_,foreign_worker_,classification_
368,no account,36,paid back all previous loans,used car,3446,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,42,no additional loans,own,1,skilled,3 and more,none,no,Rejected
369,no balance,18,paid back all previous loans,used car,3001,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male single,none,more than 7 years,real estate,40,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
370,above 200 EUR,36,paid back all previous loans,other,3079,above 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,real estate,36,no additional loans,own,1,skilled,0 to 2,none,no,Approved
371,above 200 EUR,18,paid back previous loans at this bank,furniture,6070,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,car,33,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
372,above 200 EUR,10,paid back previous loans at this bank,used car,2146,no savings account at this bank,less than 1 year,more than 35%,male single,none,between 4 and 7 years,real estate,23,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Approved
373,above 200 EUR,60,paid back previous loans at this bank,other,13756,above 1000 EUR,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,none,63,at other banks,for free,1,executive or self-employed,0 to 2,yes,no,Approved
374,no balance,60,other loans exist at other banks,business,14782,below 100 EUR,more than 7 years,between 20 and 25%,male single,none,more than 7 years,none,60,at other banks,for free,2 or 3,executive or self-employed,0 to 2,yes,no,Rejected
375,no account,48,other loans exist at other banks,retraining,7685,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male single,guarantor,more than 7 years,car,37,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
376,above 200 EUR,18,no problems with current loans,furniture,2320,no savings account at this bank,unemployed,between 25 and 35%,female,none,between 4 and 7 years,real estate,34,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
377,above 200 EUR,7,no problems with current loans,furniture,846,above 1000 EUR,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,36,no additional loans,for free,1,skilled,0 to 2,none,no,Approved
378,no balance,36,paid back all previous loans,other,14318,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,none,57,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Rejected
379,above 200 EUR,6,paid back previous loans at this bank,other,362,below 100 EUR,between 1 and 4 years,less than 20%,male single,none,more than 7 years,car,52,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
380,no account,20,paid back all previous loans,used car,2212,above 1000 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,car,39,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
381,no balance,18,paid back all previous loans,new car,12976,no savings account at this bank,unemployed,between 20 and 25%,male single,none,more than 7 years,none,38,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Rejected
382,above 200 EUR,22,paid back all previous loans,other,1283,above 1000 EUR,between 4  and 7 years,less than 20%,male single,none,more than 7 years,life insurance,25,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
383,below 200 EUR,12,paid back all previous loans,other,1330,no savings account at this bank,less than 1 year,less than 20%,male married or widowed,none,less than 1 year,real estate,26,no additional loans,own,1,skilled,0 to 2,none,no,Approved
384,above 200 EUR,30,no problems with current loans,retraining,4272,below 100 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,life insurance,26,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
385,above 200 EUR,18,paid back previous loans at this bank,furniture,2238,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,less than 1 year,car,25,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
386,above 200 EUR,18,paid back all previous loans,furniture,1126,above 1000 EUR,less than 1 year,less than 20%,male single,none,between 1 and 4 years,real estate,21,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
387,no balance,18,paid back previous loans at this bank,used car,7374,no savings account at this bank,unemployed,less than 20%,male married or widowed,none,more than 7 years,life insurance,40,at department store,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
388,no balance,15,paid back previous loans at this bank,retraining,2326,between 100 and 500 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,more than 7 years,car,27,at other banks,own,1,skilled,0 to 2,none,no,Approved
389,above 200 EUR,9,paid back all previous loans,retraining,1449,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male single,none,between 1 and 4 years,car,27,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
390,above 200 EUR,18,paid back all previous loans,other,1820,no savings account at this bank,between 1 and 4 years,between 25 and 35%,female,none,between 1 and 4 years,life insurance,30,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
391,no balance,12,paid back all previous loans,used car,983,between 500 and 1000 EUR,less than 1 year,more than 35%,male single,none,more than 7 years,real estate,19,no additional loans,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
392,no account,36,paid back all previous loans,other,3249,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,none,39,at other banks,for free,1,executive or self-employed,3 and more,yes,no,Approved
393,no account,6,paid back previous loans at this bank,furniture,1957,no savings account at this bank,between 4  and 7 years,more than 35%,male single,none,more than 7 years,car,31,no additional loans,own,1,skilled,0 to 2,none,no,Approved
394,above 200 EUR,9,paid back previous loans at this bank,used car,2406,no savings account at this bank,unemployed,between 25 and 35%,male married or widowed,none,between 4 and 7 years,car,31,no additional loans,own,1,executive or self-employed,0 to 2,none,no,Approved
395,no balance,39,no problems with current loans,repair,11760,below 100 EUR,between 4  and 7 years,between 25 and 35%,male married or widowed,none,between 4 and 7 years,none,32,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
396,no account,12,paid back all previous loans,used car,2578,no savings account at this bank,unemployed,between 20 and 25%,male single,none,more than 7 years,none,55,no additional loans,for free,1,executive or self-employed,0 to 2,none,no,Approved
397,no account,36,paid back previous loans at this bank,used car,2348,no savings account at this bank,between 1 and 4 years,between 20 and 25%,female,none,between 1 and 4 years,life insurance,46,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
398,no balance,12,paid back all previous loans,other,1223,no savings account at this bank,more than 7 years,more than 35%,male divorced,none,less than 1 year,real estate,46,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Rejected
399,above 200 EUR,24,paid back previous loans at this bank,furniture,1516,between 500 and 1000 EUR,between 1 and 4 years,less than 20%,male single,none,less than 1 year,real estate,43,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
400,above 200 EUR,18,paid back all previous loans,furniture,1473,no savings account at this bank,less than 1 year,between 20 and 25%,female,none,more than 7 years,real estate,39,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
401,no balance,18,paid back previous loans at this bank,retraining,1887,above 1000 EUR,between 1 and 4 years,less than 20%,female,none,more than 7 years,real estate,28,at other banks,own,2 or 3,skilled,0 to 2,none,no,Approved
402,above 200 EUR,24,no problems with current loans,retraining,8648,no savings account at this bank,less than 1 year,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,27,at other banks,own,2 or 3,skilled,0 to 2,yes,no,Rejected
403,above 200 EUR,14,no problems with current loans,other,802,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,27,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
404,no balance,18,no problems with current loans,other,2899,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,43,no additional loans,own,1,skilled,3 and more,none,no,Approved
405,no balance,24,paid back all previous loans,furniture,2039,no savings account at this bank,less than 1 year,more than 35%,female,none,less than 1 year,life insurance,22,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
406,above 200 EUR,24,paid back previous loans at this bank,new car,2197,above 1000 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,car,43,no additional loans,own,2 or 3,skilled,3 and more,yes,no,Approved
407,no account,15,paid back all previous loans,furniture,1053,no savings account at this bank,less than 1 year,less than 20%,female,none,between 1 and 4 years,real estate,27,no additional loans,own,1,skilled,0 to 2,none,yes,Approved
408,above 200 EUR,24,paid back all previous loans,furniture,3235,between 100 and 500 EUR,more than 7 years,between 20 and 25%,male divorced,none,between 1 and 4 years,car,26,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
409,below 200 EUR,12,paid back previous loans at this bank,other,939,between 100 and 500 EUR,between 4  and 7 years,less than 20%,female,none,between 1 and 4 years,real estate,28,no additional loans,own,4 or 5,skilled,0 to 2,yes,no,Rejected
410,no balance,24,paid back all previous loans,furniture,1967,no savings account at this bank,more than 7 years,less than 20%,male single,none,more than 7 years,car,20,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
411,above 200 EUR,33,paid back previous loans at this bank,new car,7253,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,car,35,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
412,above 200 EUR,12,paid back previous loans at this bank,retraining,2292,no savings account at this bank,unemployed,less than 20%,male married or widowed,none,between 1 and 4 years,car,42,at department store,own,2 or 3,executive or self-employed,0 to 2,yes,no,Rejected
413,above 200 EUR,10,paid back all previous loans,other,1597,between 100 and 500 EUR,between 1 and 4 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,none,40,no additional loans,rent,1,unskilled (permanent resident),3 and more,none,yes,Approved
414,no account,24,paid back all previous loans,other,1381,above 1000 EUR,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,life insurance,35,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
